IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.150.197,2082,2082,false,SIN,Asia Pacific,Singapore,66,8.42
8.219.60.54,2082,2082,false,SIN,Asia Pacific,Singapore,54,8.41
8.219.93.5,2052,2052,false,SIN,Asia Pacific,Singapore,17,8.41
8.219.107.135,2096,2096,true,SIN,Asia Pacific,Singapore,73,8.41
8.219.60.54,2083,2083,true,SIN,Asia Pacific,Singapore,95,8.41
8.219.103.65,2052,2052,false,SIN,Asia Pacific,Singapore,17,8.40
8.210.107.246,8443,8443,true,HKG,Asia Pacific,Hong Kong,99,8.40
47.236.164.215,2086,2086,false,SIN,Asia Pacific,Singapore,9,8.40
47.76.49.246,2052,2052,false,HKG,Asia Pacific,Hong Kong,38,8.40
47.237.11.182,8080,8080,false,SIN,Asia Pacific,Singapore,26,8.39
47.237.95.146,2086,2086,false,SIN,Asia Pacific,Singapore,24,8.39
8.219.6.150,8880,8880,false,SIN,Asia Pacific,Singapore,3,8.39
47.236.169.164,2053,2053,true,SIN,Asia Pacific,Singapore,44,8.38
8.219.4.122,2053,2053,true,SIN,Asia Pacific,Singapore,71,8.38
8.218.53.110,80,80,false,HKG,Asia Pacific,Hong Kong,42,8.37
8.210.192.93,2087,2087,true,HKG,Asia Pacific,Hong Kong,59,8.36
47.237.94.140,80,80,false,SIN,Asia Pacific,Singapore,21,8.35
47.251.74.226,443,443,true,LAX,North America,Los Angeles,174,8.35
8.219.60.54,8443,8443,true,SIN,Asia Pacific,Singapore,110,8.35
47.236.170.54,8880,8880,false,SIN,Asia Pacific,Singapore,28,8.35
8.210.203.7,2083,2083,true,HKG,Asia Pacific,Hong Kong,66,8.35
8.218.142.253,2083,2083,true,HKG,Asia Pacific,Hong Kong,113,8.35
47.236.171.205,2083,2083,true,SIN,Asia Pacific,Singapore,74,8.35
8.219.122.55,2087,2087,true,SIN,Asia Pacific,Singapore,53,8.34
8.218.18.132,2096,2096,true,HKG,Asia Pacific,Hong Kong,81,8.33
8.217.164.10,2082,2082,false,HKG,Asia Pacific,Hong Kong,44,8.33
8.210.175.109,2053,2053,true,HKG,Asia Pacific,Hong Kong,40,8.32
8.218.22.210,8080,8080,false,HKG,Asia Pacific,Hong Kong,52,8.32
47.236.104.11,8080,8080,false,SIN,Asia Pacific,Singapore,7,8.30
8.219.84.214,2087,2087,true,SIN,Asia Pacific,Singapore,90,8.29
8.218.2.181,2082,2082,false,HKG,Asia Pacific,Hong Kong,47,8.29
47.236.125.62,2087,2087,true,NRT,Asia Pacific,Tokyo,128,8.28
8.210.175.109,2086,2086,false,HKG,Asia Pacific,Hong Kong,47,8.28
8.222.136.247,80,80,false,SIN,Asia Pacific,Singapore,19,8.27
47.236.171.205,8443,8443,true,SIN,Asia Pacific,Singapore,70,8.27
