IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.217.250.222,2083,true,HKG,Asia Pacific,Hong Kong,36 ms,49940 kB/s
8.210.245.224,2083,true,HKG,Asia Pacific,Hong Kong,3 ms,29960 kB/s
8.219.40.37,2083,true,SIN,Asia Pacific,Singapore,79 ms,12488 kB/s
8.210.89.245,2083,true,HKG,Asia Pacific,Hong Kong,30 ms,11276 kB/s
8.219.120.87,2083,true,SIN,Asia Pacific,Singapore,204 ms,9983 kB/s
8.222.208.38,2083,true,SIN,Asia Pacific,Singapore,6 ms,9857 kB/s
8.222.134.170,2083,true,SIN,Asia Pacific,Singapore,29 ms,9719 kB/s
47.242.119.104,2083,true,HKG,Asia Pacific,Hong Kong,3 ms,9566 kB/s
8.219.11.158,2083,true,SIN,Asia Pacific,Singapore,4 ms,9375 kB/s
8.219.147.58,2083,true,SIN,Asia Pacific,Singapore,3 ms,9063 kB/s
8.219.49.65,2083,true,SIN,Asia Pacific,Singapore,5 ms,8954 kB/s
8.219.194.170,2083,true,SIN,Asia Pacific,Singapore,206 ms,8643 kB/s
8.222.144.50,2083,true,SIN,Asia Pacific,Singapore,29 ms,8560 kB/s
8.219.6.150,2083,true,SIN,Asia Pacific,Singapore,24 ms,8523 kB/s
8.219.117.198,2083,true,SIN,Asia Pacific,Singapore,2 ms,8353 kB/s
8.222.193.65,2083,true,SIN,Asia Pacific,Singapore,218 ms,8025 kB/s
8.219.170.232,2083,true,SIN,Asia Pacific,Singapore,3 ms,7933 kB/s
8.222.169.222,2083,true,SIN,Asia Pacific,Singapore,5 ms,7138 kB/s
8.219.124.227,2083,true,SIN,Asia Pacific,Singapore,0 ms,5802 kB/s
8.210.175.109,2083,true,HKG,Asia Pacific,Hong Kong,3 ms,5789 kB/s
8.210.48.107,2083,true,HKG,Asia Pacific,Hong Kong,33 ms,5752 kB/s
8.218.1.163,2083,true,HKG,Asia Pacific,Hong Kong,32 ms,4545 kB/s
47.243.70.186,2083,true,HKG,Asia Pacific,Hong Kong,4 ms,2378 kB/s
47.243.243.14,2083,true,HKG,Asia Pacific,Hong Kong,6 ms,1222 kB/s
193.123.252.170,2083,true,ICN,Asia Pacific,Seoul,83 ms,873 kB/s
47.245.118.70,2083,true,SIN,Asia Pacific,Singapore,3 ms,818 kB/s
47.243.120.239,2083,true,HKG,Asia Pacific,Hong Kong,3 ms,19 kB/s
8.217.49.34,2083,true,HKG,Asia Pacific,Hong Kong,27 ms,19 kB/s
47.243.198.198,2083,true,HKG,Asia Pacific,Hong Kong,74 ms,16 kB/s
47.243.169.90,2083,true,HKG,Asia Pacific,Hong Kong,3 ms,14 kB/s
8.219.208.104,2083,true,SIN,Asia Pacific,Singapore,3 ms,3 kB/s
8.219.248.47,2083,true,SIN,Asia Pacific,Singapore,2 ms,3 kB/s
8.219.110.248,2083,true,SIN,Asia Pacific,Singapore,3 ms,3 kB/s
8.222.145.43,2083,true,SIN,Asia Pacific,Singapore,5 ms,3 kB/s
152.70.155.147,2083,true,LAX,North America,Los Angeles,222 ms,0 kB/s
47.242.234.127,2083,true,HKG,Asia Pacific,Hong Kong,32 ms,0 kB/s
