IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
168.138.46.67,443,true,KIX,Asia Pacific,Osaka,23 ms,18496 kB/s
168.138.39.224,443,true,KIX,Asia Pacific,Osaka,23 ms,11523 kB/s
47.89.151.17,443,true,IAD,North America,Ashburn,26 ms,6404 kB/s
193.123.58.159,443,true,FRA,Europe,Frankfurt,9 ms,6332 kB/s
141.147.95.148,443,true,FRA,Europe,Frankfurt,8 ms,6029 kB/s
193.123.34.250,443,true,FRA,Europe,Frankfurt,21 ms,5986 kB/s
138.2.146.198,443,true,FRA,Europe,Frankfurt,7 ms,5931 kB/s
141.144.192.132,443,true,FRA,Europe,Frankfurt,24 ms,5916 kB/s
141.144.203.68,443,true,FRA,Europe,Frankfurt,25 ms,5901 kB/s
141.148.232.47,443,true,FRA,Europe,Frankfurt,22 ms,5896 kB/s
131.186.45.251,443,true,SIN,Asia Pacific,Singapore,23 ms,5841 kB/s
141.147.113.113,443,true,DUS,Europe,Düsseldorf,8 ms,5831 kB/s
193.123.39.157,443,true,FRA,Europe,Frankfurt,21 ms,5830 kB/s
144.21.63.195,443,true,FRA,Europe,Frankfurt,9 ms,5801 kB/s
141.144.194.175,443,true,FRA,Europe,Frankfurt,23 ms,5774 kB/s
150.230.114.143,443,true,FRA,Europe,Frankfurt,7 ms,5746 kB/s
158.101.210.206,443,true,FRA,Europe,Frankfurt,23 ms,5723 kB/s
158.101.208.211,443,true,FRA,Europe,Frankfurt,23 ms,5705 kB/s
193.123.37.117,443,true,FRA,Europe,Frankfurt,21 ms,5696 kB/s
141.144.197.111,443,true,AMS,Europe,Amsterdam,248 ms,5683 kB/s
144.21.58.2,443,true,FRA,Europe,Frankfurt,8 ms,5672 kB/s
150.230.42.80,443,true,SJC,North America,San Jose,21 ms,5636 kB/s
138.2.131.153,443,true,FRA,Europe,Frankfurt,7 ms,5575 kB/s
141.147.90.151,443,true,FRA,Europe,Frankfurt,23 ms,5563 kB/s
141.147.115.33,443,true,FRA,Europe,Frankfurt,8 ms,5555 kB/s
130.162.229.233,443,true,FRA,Europe,Frankfurt,22 ms,5540 kB/s
141.147.66.130,443,true,FRA,Europe,Frankfurt,23 ms,5515 kB/s
130.162.249.167,443,true,FRA,Europe,Frankfurt,24 ms,5511 kB/s
130.61.97.191,443,true,FRA,Europe,Frankfurt,23 ms,5509 kB/s
152.67.130.93,443,true,FRA,Europe,Frankfurt,24 ms,5505 kB/s
138.2.179.126,443,true,FRA,Europe,Frankfurt,8 ms,5489 kB/s
141.147.0.154,443,true,FRA,Europe,Frankfurt,23 ms,5467 kB/s
138.2.161.164,443,true,FRA,Europe,Frankfurt,8 ms,5427 kB/s
141.144.245.35,443,true,FRA,Europe,Frankfurt,23 ms,5423 kB/s
150.230.123.30,443,true,FRA,Europe,Frankfurt,7 ms,5406 kB/s
130.162.166.129,443,true,FRA,Europe,Frankfurt,22 ms,5341 kB/s
150.230.23.156,443,true,FRA,Europe,Frankfurt,22 ms,5333 kB/s
152.70.171.208,443,true,FRA,Europe,Frankfurt,9 ms,5308 kB/s
193.123.33.222,443,true,FRA,Europe,Frankfurt,21 ms,5298 kB/s
141.147.112.2,443,true,FRA,Europe,Frankfurt,9 ms,5296 kB/s
144.24.174.179,443,true,FRA,Europe,Frankfurt,23 ms,5220 kB/s
141.144.192.97,443,true,FRA,Europe,Frankfurt,25 ms,5216 kB/s
144.24.160.47,443,true,FRA,Europe,Frankfurt,23 ms,5209 kB/s
141.147.114.18,443,true,MAD,Europe,Madrid,8 ms,5208 kB/s
144.24.166.131,443,true,FRA,Europe,Frankfurt,23 ms,5200 kB/s
141.144.244.27,443,true,FRA,Europe,Frankfurt,31 ms,5195 kB/s
150.230.120.184,443,true,FRA,Europe,Frankfurt,25 ms,5182 kB/s
141.145.217.226,443,true,CDG,Europe,Paris,23 ms,5144 kB/s
152.70.63.177,443,true,FRA,Europe,Frankfurt,22 ms,5121 kB/s
141.147.41.199,443,true,FRA,Europe,Frankfurt,23 ms,5118 kB/s
141.148.229.106,443,true,AMS,Europe,Amsterdam,282 ms,5077 kB/s
130.162.180.159,443,true,FRA,Europe,Frankfurt,23 ms,5005 kB/s
141.144.231.76,443,true,FRA,Europe,Frankfurt,24 ms,4752 kB/s
143.47.235.231,443,true,FRA,Europe,Frankfurt,3 ms,4674 kB/s
138.2.145.188,443,true,FRA,Europe,Frankfurt,9 ms,4656 kB/s
129.154.201.178,443,true,SIN,Asia Pacific,Singapore,22 ms,4628 kB/s
141.147.118.182,443,true,FRA,Europe,Frankfurt,9 ms,4626 kB/s
