IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
144.21.51.51,2053,true,LHR,Europe,London,290 ms,5364 kB/s
141.144.198.113,2053,true,AMS,Europe,Amsterdam,286 ms,5354 kB/s
132.145.54.84,2053,true,LHR,Europe,London,287 ms,3900 kB/s
168.138.141.235,2053,true,GRU,South America,S?o Paulo,377 ms,265 kB/s
158.101.169.13,2053,true,FRA,Europe,Frankfurt,287 ms,161 kB/s
143.47.243.144,2053,true,LHR,Europe,London,290 ms,152 kB/s
141.147.61.116,2053,true,FRA,Europe,Frankfurt,286 ms,142 kB/s
129.151.198.3,2053,true,ARN,Europe,Stockholm,287 ms,118 kB/s
132.226.163.224,2053,true,GRU,South America,S?o Paulo,380 ms,0 kB/s
144.24.169.81,2053,true,FRA,Europe,Frankfurt,267 ms,0 kB/s
